,,,,,,,,,,,, 
Rol de Procedimentos e Eventos em Saúde,,,,,,,,,,,, 
"(RN 465/2021, vigente a partir de 01/04/2021, e suas alterações)",,,,,,,,,,,, 
,,,,,,,,,,,, 
PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO 
RADIOGRAFIA DE TÓRAX,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
RADIOGRAFIA INTERPROXIMAL - BITE-WING,,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
RADIOGRAFIA OCLUSAL,,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
RADIOGRAFIA PANORÂMICA DE MANDÍBULA/MAXILA (ORTOPANTOMOGRAFIA),,,OD,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
RADIOGRAFIA PANORÂMICA DOS MEMBROS INFERIORES,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
RADIOGRAFIA PERIAPICAL,,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
LEVANTAMENTO RADIOGRÁFICO (EXAME RADIODÔNTICO/PERIAPICAL COMPLETO),,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
RADIOSCOPIA DIAGNÓSTICA,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
RADIOSCOPIA PARA ACOMPANHAMENTO DE PROCEDIMENTO CIRÚRGICO,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
SIALOGRAFIA,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE DE OCLUSÃO DE ARTÉRIA CARÓTIDA OU VERTEBRAL,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TOMOGRAFIA RENAL,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TRÂNSITO E MORFOLOGIA DO APARELHO DIGESTIVO,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
URETROCISTOGRAFIA,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UROGRAFIA VENOSA COM BEXIGA PRÉ E PÓS-MICCIONAL,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UROGRAFIA VENOSA COM NEFROTOMOGRAFIA,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UROGRAFIA VENOSA MINUTADA 1-2-3,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ABLAÇÃO PERCUTÂNEA POR RADIOFREQUÊNCIA PARA TRATAMENTO DE OSTEOMA OSTEÓIDE,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ANGIOPLASTIA ARTERIAL OU VENOSA,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ANGIOPLASTIA EM ENXERTOS VENOSOS E/OU ARTERIAIS COM OU SEM IMPLANTE DE STENT COM OU SEM USO DE DISPOSITIVO DE PROTEÇÃO EMBÓLICA DISTAL,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ANGIOPLASTIA TRANSLUMINAL PERCUTÂNEA,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ATERECTOMIA PERCUTÂNEA ORIENTADA POR RX,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
CATETERISMO ARTERIAL PARA QUIMIOTERAPIA,,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"COLECISTOSTOMIA PERCUTÂNEA ORIENTADA POR RX, US OU TC",,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLOCAÇÃO DE CATETER VENOSO CENTRAL OU PORTOCATH,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLOCAÇÃO DE FILTRO DE VCI PARA PREVENÇÃO DE TEP,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLOCAÇÃO DE STENT BILIAR,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLOCAÇÃO DE STENT EM TRAQUÉIA OU BRÔNQUIO,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"COLOCAÇÃO DE STENT ESOFAGIANO, INTESTINAL OU RETAL",,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLOCAÇÃO DE STENT RENAL,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLOCAÇÃO DE STENT VASCULAR (ARTERIAL OU VENOSO),,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLOCAÇÃO PERCUTÂNEA DE CATETER PIELOVESICAL,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLOCAÇÃO PERCUTÂNEA DE STENT VASCULAR,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
COLUNA VERTEBRAL: INFILTRAÇÃO FORAMINAL OU FACETÁRIA OU ARTICULAR,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DILATAÇÃO PERCUTÂNEA DE ESTENOSE BILIAR CICATRICIAL,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DILATAÇÃO PERCUTÂNEA DE ESTENOSE DE CONDUTO URINÁRIO,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DILATAÇÃO PERCUTÂNEA DE ESTENOSE DE DUCTO PANCREÁTICO,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DISCOGRAFIA,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DRENAGEM PERCUTÂNEA DE CISTO OU ABCESSO RENAL,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DRENAGEM PERCUTÂNEA DE CISTO OU ABCESSO HEPÁTICO OU PANCREÁTICO,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"DRENAGEM PERCUTÂNEA DE COLEÇÃO ABDOMINAL, RETROPERITONEAL, PÉLVICA ORIENTADA OU NÃO POR US OU TC",,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DRENAGEM PERCUTÂNEA DE COLEÇÃO PLEURAL,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DRENAGEM PERCUTÂNEA DE COLEÇÃO PULMONAR OU MEDIASTINAL ORIENTADA OU NÃO POR US OU TC,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DRENAGEM PERCUTÂNEA DE PNEUMOTÓRAX,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DRENAGEM PERCUTÂNEA DE VIA BILIAR,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DRENAGEM PERCUTÂNEA ORIENTADA POR IMAGEM,,,,AMB,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EMBOLIZAÇÃO ARTERIAL PARA TRATAMENTO DE PRIAPISMO,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EMBOLIZAÇÃO BRÔNQUICA PARA TRATAMENTO DE HEMOPTISE,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EMBOLIZAÇÃO DE ANEURISMA CEREBRAL,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EMBOLIZAÇÃO DE ANEURISMA OU PSEUDOANEURISMA VISCERAL,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EMBOLIZAÇÃO DE ARTÉRIA RENAL PARA NEFRECTOMIA,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EMBOLIZAÇÃO DE ARTÉRIA UTERINA (COM DIRETRIZ DE UTILIZAÇÃO),,,,,HCO,HSO,REF,PAC,23,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EMBOLIZAÇÃO DE FÍSTULA ARTERIOVENOSA,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MÉTODOS INTERVENCIONISTAS  DIAGNÓSTICOS E TERAPÊUTICOS POR IMAGEM,MÉTODOS DIAGNÓSTICOS POR IMAGEM,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
